session,participant,TrialNumber,topColor,topOri,redOpacity,ran,order,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys
1,08,1,blue,135,0.5,1.0,0.0,cut off by trial end,[1.3995724999113008, 1.2131912999320775, 0.8429716000100598, 0.9142187999095768, 1.658180599915795, 2.537035399931483, 1.4529531000880525, 0.6619963999837637, 1.1624514000723138, 1.3300962999928743, 3.905415300047025, 0.8540518000954762, 0.6693895000498742, 3.061320299981162, 0.5758973000338301, 2.2493241999763995, 1.3863486000336707, 2.262827800004743, 0.5967629000078887, 2.1535808999324217, 1.4069347999757156, 0.6637068999698386, 0.4998325000051409, 1.5788160999072716, 1.6528151000384241, 4.5048881999682635, 1.8021556999301538, 0.5682250000536442, 2.639782499987632, 1.0495492999907583, 5.510209699976258, 2.2249716999940574, 1.173030599951744, 1.0324669999536127, 1.4307453000219539, 1.5418268999783322, 3.1383182000136003, 1.018509899964556, 1.8684916000347584, 2.7082439000951126, 1.1038065000902861, 1.0249449000693858, 1.076655000098981, 1.415563799906522, 1.9962249000091106, 1.7242588000372052, 1.6060553999850526, 2.658685499918647, 3.749397199950181, 1.5374258999945596, 3.8010552999330685, 0.5335866999812424, 2.617327200016007, 1.6371424000244588, 3.876012900029309, 1.1688625999959186, 2.221207399968989, 0.8701077000005171],[1.0441457000561059, 2.378690200042911, 3.5192409000592306, 4.294330700067803, 5.114123700070195, 6.672398600028828, 9.156000499962829, 10.527588800061494, 11.06563319999259, 12.188533900072798, 13.429550100001507, 17.2842431999743, 18.079150300007313, 18.646318300045095, 21.65597229998093, 22.148941199993715, 24.31391949998215, 25.62158969999291, 27.782353700022213, 28.286915100063197, 30.348574300063774, 31.671342100016773, 32.252062499988824, 32.708147300058044, 34.182703000027686, 35.7539448000025, 40.34946040005889, 42.07728460000362, 42.5329188000178, 45.12365069997031, 46.108738300041296, 51.54146810004022, 53.70375600003172, 54.79767740005627, 55.72370690002572, 57.06356160005089, 58.50660019996576, 61.55421440000646, 62.489970199996606, 64.29627309995703, 66.91676499997266, 67.95971239998471, 68.95767629996408, 69.97108290006872, 71.30648020002991, 73.2437647000188, 74.88969320000615, 76.37607750005554, 78.91864330007229, 82.58727879996877, 84.04925280006137, 87.77186530001927, 88.22146939998493, 90.80275150004309, 92.40651979995891, 96.25814789999276, 97.37529140000697, 99.6185765999835],['right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'space', 'right', 'left', 'space', 'space', 'left', 'right', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'space', 'right', 'space', 'right', 'space', 'right'],[<psychopy.hardware.keyboard.KeyPress object at 0x000001618B934E80>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934A58>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934438>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934710>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934198>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934C88>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934390>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934F98>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9344A8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934898>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934860>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9341D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934630>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934208>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934FD0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934B00>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9345C0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934B70>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934EB8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934D68>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934C50>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9346A0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934940>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9347B8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934F60>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934A90>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9348D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934080>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9343C8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9345F8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934978>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934470>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934CF8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934828>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934BE0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B6E3B00>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934908>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934518>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC0588>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC05C0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC0E80>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B6E3C88>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B6E3B70>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B240>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B8D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84BF28>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84BF60>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B940>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B908>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC05F8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC0320>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBCF1D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B860>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84B4A8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84C4A8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CBA8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBCFA90>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B71D7B8>],0.0214616,101.02132,[['right', 144.52210019994527], ['space', 145.6520920000039], ['return', 148.77945219993126], ['left', 151.1424267999828], ['return', 157.66079749993514], ['right', 159.08824930002447], ['return', 166.8789729999844], ['space', 168.17708619998302], ['return', 175.36034150002524], ['left', 177.67413169995416], ['right', 178.6047251999844], ['left', 179.3205825999612], ['right', 181.15395890001673], ['left', 183.58511659991927], ['space', 186.2389027000172], ['return', 190.4916503999848], ['right', 296.5423583999509], ['left', 296.54256829991937], ['space', 296.54304409993347], ['right', 296.5435086999787], ['left', 296.54389049997553], ['right', 296.5441118000308], ['left', 296.54424570000265], ['right', 296.54438069998287], ['space', 296.5445163999684], ['right', 296.54467700002715], ['space', 296.5448132000165], ['left', 296.5449766999809], ['right', 296.54511840001214], ['space', 296.54525450000074], ['left', 296.5454147999408], ['right', 296.545510499971], ['left', 296.54578929999843], ['right', 296.54594189999625], ['space', 296.5460846000351], ['left', 296.5461957999505], ['right', 296.546331099933], ['left', 296.5464660000289], ['space', 296.5466039000312], ['right', 296.54671309993137], ['left', 296.5468486000318], ['space', 296.54698460001964], ['space', 296.54718769993633], ['left', 296.5472526999656], ['right', 296.5473481999943], ['left', 296.5474826999707], ['space', 296.54761709994636], ['left', 296.54777910001576], ['right', 296.5479174000211], ['left', 296.5480583999306], ['right', 296.5481922000181], ['left', 296.5483259999892], ['right', 296.548459899961], ['left', 296.5485933999298], ['space', 296.54873039992526], ['right', 296.54889189999085], ['left', 296.5491499999771], ['space', 296.549297099933], ['right', 296.549459700007], ['left', 296.54959670000244], ['space', 296.5497322999872], ['right', 296.54989449994173], ['left', 296.55002880003303], ['right', 296.55016360001173], ['space', 296.55029909999575], ['left', 296.5504582999274], ['right', 296.55059250001796], ['left', 296.5507268999936], ['space', 296.5508254999295], ['right', 296.5509892000118], ['space', 296.5511261000065], ['right', 296.551285799942], ['space', 296.5514215999283], ['right', 296.55162789998576]]
1,08,2,red,135,0.5,1.0,1.0,cut off by trial end,[0.9116447999840602, 1.8065794999711215, 0.5892068000975996, 1.3803355999989435, 0.8635671000229195, 0.812260500038974, 0.9760851999744773, 1.4997477000579238, 0.7569287000223994, 6.68439650000073, 1.525418300065212, 0.7109287000494078, 2.0856066000415012, 1.1123804999515414, 1.2486348999664187, 0.6025169999338686, 3.7512182999635115, 0.9330572999315336, 2.238635400077328, 1.8861333000240847, 2.595864800037816, 1.4391347999917343, 2.5895221000537276, 2.7876615000423044, 2.856989399995655, 6.326500199967995, 1.135514899971895, 4.059008099953644, 1.2702795000514016, 2.8649165999377146, 1.9169567000353709, 10.18592289998196, 0.9828112000832334, 0.27475099998991936, 6.010263100033626, 8.814208699972369, 1.5687413999112323, 2.100152900093235, 1.897840299992822, 1.0734266999643296, 6.864219600101933, 1.3148597999243066],[0.6907425000099465, 1.492098700022325, 3.212426899932325, 3.713740599923767, 5.002064000000246, 5.7341842999449, 6.4441800999920815, 7.351493599941023, 8.786447099992074, 9.466685399995185, 16.18318409996573, 17.64346209994983, 18.23755999992136, 20.308971800026484, 21.302986999973655, 22.549964200006798, 23.08151419996284, 26.838933899998665, 27.71329969994258, 29.871754899970256, 31.619502099929377, 34.15637889993377, 35.50415129994508, 38.062924599973485, 40.78643600002397, 43.54950500000268, 49.823312400025316, 50.804061500006355, 54.80923679994885, 56.008533900021575, 58.782375899958424, 60.60240189998876, 70.64816869993228, 73.82117449992802, 71.54906869994011, 77.45246589998715, 86.19606320001185, 87.6872616999317, 89.73840030003339, 91.5640485000331, 92.49781819991767, 99.28984610002954],['right', 'space', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'right', 'space', 'right', 'space', 'right', 'left', 'right', 'space', 'right', 'lctrl', 'left', 'space', 'left', 'right', 'left', 'right', 'space', 'right'],[<psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CFD0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CD68>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84C978>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B6FB128>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84C8D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CB38>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925CC0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9250B8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925128>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CE80>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925048>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925B70>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925B00>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925080>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925BE0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925F28>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925470>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925E48>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B708CC0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B84CEF0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925C50>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934128>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B934EF0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925438>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B925F60>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947748>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947E10>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947DA0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947B38>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947BA8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947EF0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947AC8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947908>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9477F0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947D30>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9471D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947898>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947F98>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9477B8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947470>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947F60>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9340B8>],132.35431,233.35176,[['return', 328.85736659995746], ['right', 428.8757122999523], ['space', 428.87592629995197], ['right', 428.8764467999572], ['left', 428.8766540000215], ['right', 428.8767911000177], ['space', 428.8769270000048], ['left', 428.8770894999616], ['right', 428.8772249999456], ['left', 428.8773605999304], ['space', 428.8774989999365], ['left', 428.87770359998103], ['right', 428.87775729992427], ['space', 428.87789320002776], ['right', 428.8780552999815], ['space', 428.87819099996705], ['left', 428.8783498000121], ['space', 428.87848670000676], ['right', 428.8786932999501], ['left', 428.8787464000052], ['right', 428.87888099998236], ['space', 428.87901609996334], ['right', 428.8791776000289], ['space', 428.87931360001676], ['left', 428.87947639997583], ['right', 428.8796111999545], ['space', 428.8797477999469], ['right', 428.879906999995], ['space', 428.88004449999426], ['right', 428.8802059999434], ['left', 428.88034020003397], ['right', 428.88047480001114], ['space', 428.8806147000287], ['right', 428.8807739999611], ['left', 428.88091049995273], ['lctrl', 428.8810955999652], ['space', 428.8812079000054], ['left', 428.881370899966], ['right', 428.8815066999523], ['left', 428.881641499931], ['right', 428.8817765000276], ['space', 428.88191250001546], ['right', 428.8820745999692]]
1,08,3,red,45,0.5,1.0,2.0,cut off by trial end,[3.7823536000214517, 0.5396368999499828, 1.0117085000965744, 1.5447421999415383, 1.9843928000191227, 2.167105000000447, 2.657750300015323, 0.627009299932979, 1.269312100019306, 0.44442349998280406, 1.727686099940911, 6.6510952999815345, 1.126363500021398, 6.603254199959338, 1.0563418000238016, 1.3879933999851346, 11.87816149997525, 0.796147600049153, 0.17503190005663782, 3.5901752000208944, 1.1521169999614358, 1.0066912999609485, 2.8210482000140473, 1.0801265999907628, 1.6031264999182895, 1.2478598000016063, 1.0934314000187442, 4.744916000054218, 1.6174988999264315, 1.4161299000261351, 0.9805808999808505, 2.8061067999806255, 2.062567300046794, 1.620090499985963, 1.2411200000206009, 5.782342600054108, 1.1099097999976948, 0.81756899994798, 3.6931305000325665, 14.1299946999643, 1.0045257000019774],[0.5818570000119507, 4.195825700066052, 4.644980299985036, 5.538840200053528, 6.958818300045095, 8.84269379999023, 10.898505700053647, 13.482394400052726, 13.996901500038803, 15.193682900047861, 15.555888300063089, 17.174812800018117, 23.817061400040984, 24.773381700040773, 31.31755250005517, 32.313658000086434, 33.613374400069006, 45.38667080004234, 46.14666369999759, 46.08985190000385, 49.480621900060214, 50.50196440005675, 51.36283620004542, 54.09493470005691, 55.091085600084625, 56.503106700023636, 57.63505689997692, 58.637016399996355, 63.3506544000702, 64.91318819997832, 66.31086790002882, 67.21048290003091, 69.9199016999919, 71.87136470002588, 73.37603360007051, 74.47673059999943, 80.12555450003128, 81.15241860004608, 81.89533189998474, 85.46719240001403, 99.51979859999847],['space', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'space', 'left', 'space', 'right', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'space', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'space', 'left'],[<psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF438>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF828>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF3C8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFB38>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF4E0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF860>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF6A0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFA58>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFE10>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF7B8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFA20>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF358>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFDD8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF748>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFE48>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFBE0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFA90>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF2E8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFCF8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CEF0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C7B8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C0B8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C470>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C8D0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C518>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CB00>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C208>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C080>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C550>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C2B0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CDD8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CC50>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CD30>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CF98>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C4A8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C588>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C048>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C358>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CD68>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94CBE0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C7F0>],264.97137,365.9679,[['return', 461.4850477], ['space', 561.4909971000161], ['right', 561.4912444999209], ['left', 561.4915589999873], ['right', 561.4919380999636], ['left', 561.4923129000235], ['right', 561.4926926000044], ['space', 561.4928526999429], ['right', 561.4930124999955], ['left', 561.493147799978], ['right', 561.4932825999567], ['left', 561.4933788999915], ['space', 561.493515899987], ['left', 561.4936758999247], ['space', 561.4938139999285], ['right', 561.4939731999766], ['left', 561.4941081999568], ['space', 561.4942445999477], ['right', 561.494405800011], ['left', 561.4945421000011], ['space', 561.4945958999451], ['space', 561.4947493999498], ['right', 561.4949081999948], ['left', 561.4950447999872], ['right', 561.4951786999591], ['space', 561.4953144999454], ['right', 561.495476000011], ['left', 561.4956107999897], ['space', 561.4957472999813], ['right', 561.4959075999213], ['space', 561.4960448000347], ['left', 561.4962034999626], ['right', 561.4963438999839], ['left', 561.4964885999216], ['right', 561.4966234000167], ['left', 561.4967630000319], ['space', 561.4969002000289], ['right', 561.4970594999613], ['space', 561.4971945999423], ['left', 561.4973531999858], ['space', 561.4974913999904], ['left', 561.4976521999342]]
1,08,4,blue,45,0.5,1.0,3.0,cut off by trial end,[2.3857192000141367, 6.9639810000080615, 0.4988020999589935, 1.0345739000476897, 0.4532230000477284, 0.6679131999844685, 1.1680238000117242, 0.6844650999410078, 1.8018916000146419, 2.212172399973497, 1.0107247000560164, 2.7561246999539435, 1.1693742999341339, 10.517520300112665, 0.9025126999476925, 2.4502021999796852, 17.745380999986082, 0.7684367999900132, 1.0050706999609247, 0.12349130003713071, 2.1774292000336573, 1.3156431999523193, 0.1512053000042215, 1.9730685000540689, 1.1134158000349998, 1.9657501999754459, 0.6021315000252798, 1.5802535000257194, 8.895442500011995, 0.7092337000649422, 1.5223142000613734, 2.155370800057426, 1.1894203999545425, 2.865175199927762, 3.9831864000298083, 2.308790900046006, 1.3418468999443576, 0.5588474000105634, 1.7331047999905422, 0.7091225000331178, 0.785305899917148, 5.3550695000449196, 0.35938769998028874, 1.0974099999293685, 1.2206689999438822],[0.7603000000817701, 3.050598100060597, 9.906287600053474, 10.305763200041838, 11.269568499992602, 11.63674520002678, 12.261543300002813, 13.345503100077622, 13.957660200074315, 15.656092400080524, 17.854435799992643, 18.757817700039595, 21.414791300077923, 22.540467099985108, 33.049161500064656, 33.83933290001005, 36.12231150001753, 53.65602600004058, 54.335881800041534, 55.71051670005545, 55.24613590002991, 57.30762040009722, 59.42808350000996, 58.48401380004361, 60.34978799999226, 61.360512000042945, 63.233527500065975, 63.745077900006436, 65.20507470006123, 74.09901350003202, 74.71897899999749, 76.137601000024, 78.23164400004316, 79.33053830009885, 82.06055150006432, 85.93293160002213, 88.06941890006419, 89.33750310004689, 89.83310030004941, 91.46543630002998, 92.05537150008604, 92.76453929999843, 98.02893620007671, 98.33888320007827, 99.3107213000767],['left', 'space', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'space', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'space', 'right', 'left', 'right'],[<psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFAC8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF2B0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF710>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF240>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF9E8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF780>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF4A8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFC50>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF518>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF390>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFE80>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF550>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFBA8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF5C0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF320>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF278>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF9B0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF7F0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFB00>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFD30>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF400>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFDA0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF668>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF5F8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFEF0>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFD68>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFEB8>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF940>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CF908>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B6BBDA0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C908>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618CBC0AC8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B94C710>, <psychopy.hardware.keyboard.KeyPress object at 0x00000161976CFC18>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947BE0>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9475F8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947198>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947518>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947278>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947390>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B9476D8>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947978>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947400>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947F28>, <psychopy.hardware.keyboard.KeyPress object at 0x000001618B947160>],398.4652,499.46283,[['return', 594.9784426999977], ['left', 694.9859526000218], ['space', 694.9861558999401], ['right', 694.9867035000352], ['left', 694.9869803999318], ['right', 694.987355499994], ['space', 694.9875692999922], ['right', 694.9877289999276], ['space', 694.9878650000319], ['left', 694.9880246999674], ['space', 694.9881608999567], ['left', 694.9883204000071], ['right', 694.9884574000025], ['left', 694.9885918999789], ['space', 694.9889436999802], ['left', 694.9891286999919], ['right', 694.9892654999858], ['space', 694.989402599982], ['right', 694.98956919997], ['left', 694.9897038999479], ['right', 694.9898381999228], ['space', 694.9899354999652], ['left', 694.9900427999673], ['right', 694.9901768999407], ['space', 694.9903145999415], ['left', 694.9904239999596], ['space', 694.9905618999619], ['left', 694.9907203000039], ['right', 694.990854499978], ['space', 694.9909898999613], ['left', 694.9911497000139], ['right', 694.9912827999797], ['left', 694.9914188999683], ['right', 694.9915571999736], ['left', 694.9916907999432], ['right', 694.9918243000284], ['left', 694.9919588000048], ['right', 694.992093799985], ['space', 694.9922304999782], ['left', 694.9923409000039], ['right', 694.9924774999963], ['left', 694.9926119999727], ['space', 694.9927468999522], ['right', 694.9929056999972], ['left', 694.9930013000267], ['right', 694.993134999997]]
